Metric,RNN,LSTM
MAE ($),5597.973734318996,6615.247630348343
RMSE ($),7571.6599231780465,7580.310260738415
MAPE (%),6.947807329840069,9.17698275972174
Prediction Time(s),1.5211427211761475,1.64150071144104
