Actual,RNN_Prediction,LSTM_Prediction,RNN_Residual,LSTM_Residual
41545.78515625,41777.64,39344.473,-231.85546875,2201.3125
39507.3671875,41368.76,39239.684,-1861.39453125,267.68359375
39845.55078125,40395.66,38813.676,-550.109375,1031.875
40077.07421875,39770.81,38373.36,306.265625,1703.71484375
39933.80859375,40008.758,38071.89,-74.94921875,1861.91796875
41816.87109375,39858.098,37884.145,1958.7734375,3932.7265625
42120.0546875,40765.793,38134.176,1354.26171875,3985.87890625
42035.59375,41631.438,38608.613,404.15625,3426.98046875
43288.24609375,42154.85,39069.504,1133.39453125,4218.7421875
42952.609375,42787.82,39640.465,164.7890625,3312.14453125
42582.60546875,42617.7,40082.273,-35.09375,2500.33203125
43075.7734375,42331.703,40291.504,744.0703125,2784.26953125
43185.859375,42551.035,40427.11,634.82421875,2758.75
42992.25,42688.77,40522.785,303.48046875,2469.46484375
42583.58203125,43151.33,40546.54,-567.74609375,2037.04296875
42658.66796875,42620.3,40455.652,38.3671875,2203.015625
43084.671875,42125.89,40340.547,958.78125,2744.125
44318.22265625,42369.824,40318.305,1948.3984375,3999.91796875
45301.56640625,43320.66,40574.652,1980.90625,4726.9140625
47147.19921875,44553.406,41097.203,2593.79296875,6049.99609375
47771.27734375,45916.965,41974.17,1854.3125,5797.10546875
48293.91796875,47137.156,42950.395,1156.76171875,5343.5234375
49958.22265625,47439.26,43850.074,2518.9609375,6108.1484375
49742.44140625,48563.945,44818.746,1178.49609375,4923.6953125
51826.6953125,48912.098,45572.133,2914.59765625,6254.5625
51938.5546875,50239.86,46434.82,1698.6953125,5503.734375
52160.203125,50796.137,47192.473,1364.06640625,4967.73046875
51662.99609375,51239.316,47769.54,423.6796875,3893.45703125
52122.546875,51083.996,48033.45,1038.55078125,4089.09765625
51779.14453125,50749.805,48165.89,1029.33984375,3613.25390625
52284.875,50822.777,48144.55,1462.09765625,4140.32421875
51839.1796875,50813.09,48147.438,1026.08984375,3691.7421875
51304.97265625,51008.668,48082.83,296.3046875,3222.14453125
50731.94921875,50652.145,47896.566,79.8046875,2835.3828125
51571.1015625,50029.137,47580.695,1541.96484375,3990.40625
51733.23828125,50125.15,47425.598,1608.08984375,4307.640625
54522.40234374999,50492.082,47422.15,4030.3203124999927,7100.253906249993
57085.37109375001,52245.184,48017.49,4840.187500000007,9067.882812500007
62504.7890625,54702.914,49272.637,7801.875,13232.15234375
61198.3828125,58489.86,51609.96,2708.5234375,9588.421875
62440.6328125,59679.84,53732.297,2760.79296875,8708.3359375
62029.84765625,59572.84,55476.438,2457.0078125,6553.41015625
63167.37109375,59703.37,56548.96,3464.0,6618.41015625
68330.4140625,60007.406,57259.785,8323.0078125,11070.62890625
63801.19921875,63187.312,58641.44,613.88671875,5159.7578125
66106.8046875,62293.62,59201.13,3813.18359375,6905.67578125
66925.484375,62269.715,59641.67,4655.76953125,7283.8125
68300.09375,62995.54,60088.57,5304.5546875,8211.5234375
68498.8828125,63751.336,60711.062,4747.546875,7787.8203125
69019.7890625,64483.605,61322.33,4536.18359375,7697.4609375
72123.90625,64151.79,61884.324,7972.1171875,10239.58203125
71481.2890625,66862.555,62896.535,4618.734375,8584.75390625
73083.5,67492.516,63786.258,5590.984375,9297.2421875
71396.59375,67676.41,64714.45,3720.1875,6682.14453125
69403.7734375,66878.195,65115.24,2525.578125,4288.53515625
65315.1171875,65616.14,64755.945,-301.0234375,559.171875
68390.625,63284.83,63292.13,5105.796875,5098.49609375
67548.59375,63065.137,62210.0,4483.45703125,5338.59375
61912.77343750001,64061.992,61434.6,-2149.2187499999927,478.1718750000073
67913.671875,61098.703,59900.625,6814.96875,8013.046875
65491.39062499999,61902.195,59473.94,3589.1953124999927,6017.449218749993
63778.76171875001,62645.64,59258.727,1133.1210937500073,4520.035156250007
64062.203125,61971.598,58852.29,2090.60546875,5209.9140625
67234.171875,61225.75,58479.53,6008.421875,8754.640625
69958.8125,61687.52,58823.22,8271.29296875,11135.59375
69987.8359375,65962.52,59995.81,4025.3125,9992.02734375
69455.34375,66026.234,61331.312,3429.109375,8124.03125
70744.953125,65474.785,62324.23,5270.16796875,8420.72265625
69892.828125,66026.945,63155.94,3865.8828125,6736.88671875
69645.3046875,66161.42,63553.887,3483.8828125,6091.41796875
71333.6484375,65610.33,63595.37,5723.3203125,7738.27734375
69702.1484375,65646.55,63785.51,4055.6015625,5916.63671875
65446.97265625,66479.664,63700.71,-1032.69140625,1746.26171875
65980.8125,63587.215,62659.375,2393.59765625,3321.4375
68508.84375,61735.727,61467.332,6773.1171875,7041.51171875
67837.640625,62931.69,60978.812,4905.94921875,6858.828125
68896.109375,64592.375,60845.867,4303.734375,8050.2421875
69362.5546875,64660.668,61121.254,4701.88671875,8241.30078125
71631.359375,64820.516,61622.957,6810.84375,10008.40234375
69139.015625,66977.16,62559.324,2161.859375,6579.69140625
70587.8828125,65910.195,63012.766,4677.6875,7575.1171875
70060.609375,65204.85,63385.637,4855.7578125,6674.97265625
67195.8671875,65465.348,63535.316,1730.51953125,3660.55078125
63821.47265625001,64872.94,62980.516,-1051.4687499999927,840.9570312500073
65738.7265625,62176.316,61536.14,3562.41015625,4202.5859375
63426.21093750001,60737.645,60349.32,2688.5664062500073,3076.8906250000073
63811.86328125001,61043.406,59140.78,2768.4570312500073,4671.082031250007
61276.69140625,60403.992,58271.98,872.69921875,3004.7109375
63512.75390624999,59047.754,57284.92,4464.999999999993,6227.832031249993
63843.57031249999,59479.727,56880.434,4363.843749999993,6963.136718749993
64994.44140625,61440.47,56932.47,3553.97265625,8061.97265625
64926.64453125001,61470.19,57421.434,3456.4531250000073,7505.210937500007
66837.6796875,61340.785,58002.02,5496.89453125,8835.66015625
66407.2734375,62860.81,58857.594,3546.46484375,7549.6796875
64276.8984375,63592.016,59576.64,684.8828125,4700.2578125
64481.70703124999,62092.848,59644.023,2388.8593749999927,4837.683593749993
63755.3203125,60930.727,59399.61,2824.59375,4355.7109375
63419.14062499999,60961.473,58924.1,2457.6679687499927,4495.039062499993
63113.23046874999,60527.12,58384.89,2586.1093749999927,4728.339843749993
63841.12109375,60047.54,57884.16,3793.58203125,5956.9609375
60636.85546875001,60351.418,57659.85,285.4375000000073,2977.0039062500073
58254.01171875001,59320.23,57011.242,-1066.2187499999927,1242.7695312500073
59123.43359374999,56689.566,55823.957,2433.8671874999927,3299.4765624999927
62889.8359375,55947.59,54796.344,6942.24609375,8093.4921875
63891.47265625,58495.42,54816.875,5396.05078125,9074.59765625
64031.13281250001,60797.38,55575.027,3233.7539062500073,8456.105468750007
63161.94921875001,60748.42,56553.27,2413.5273437500073,6608.679687500007
62334.81640625001,60556.35,57233.723,1778.4648437500073,5101.093750000007
61187.94140625,60016.918,57433.656,1171.0234375,3754.28515625
63049.96093750001,58948.047,57122.434,4101.914062500007,5927.527343750007
60792.77734374999,58493.457,56988.934,2299.3203124999927,3803.8437499999927
60793.7109375,58831.152,56561.844,1962.55859375,4231.8671875
61448.39453125,58476.668,56080.895,2971.7265625,5367.5
62901.44921875,58716.867,55810.65,4184.58203125,7090.80078125
61552.7890625,59011.59,55992.297,2541.19921875,5560.4921875
66267.4921875,59135.008,56105.17,7132.484375,10162.3203125
65231.58203124999,60637.72,57052.21,4593.863281249993,8179.371093749993
67051.875,62177.86,58020.254,4874.015625,9031.62109375
66940.8046875,63409.402,59116.82,3531.40234375,7823.984375
66278.3671875,63590.07,60004.992,2688.296875,6273.375
71448.1953125,62443.492,60451.8,9004.703125,10996.39453125
70136.53125,64941.63,61580.035,5194.90234375,8556.49609375
69122.3359375,66143.85,62564.87,2978.484375,6557.46484375
67929.5625,65532.855,63043.31,2396.70703125,4886.25390625
68526.1015625,64424.215,62912.2,4101.88671875,5613.90234375
69265.9453125,63690.01,62619.707,5575.93359375,6646.23828125
68518.09375,64601.742,62469.836,3916.3515625,6048.2578125
69394.5546875,63696.74,62289.676,5697.81640625,7104.87890625
68296.21875,64567.207,62303.277,3729.01171875,5992.94140625
67578.09375,64731.547,62196.598,2846.546875,5381.49609375
